name,restaurant_id,item_category_id,price,image,is_recommended,is_popular,is_new,desc,is_veg
Jardim Amazonas,1,2,0,NULL,0,0,0,NULL,0
Cosme e Damião,1,2,0,NULL,0,0,0,NULL,0
Quati 1 e 2,1,2,0,NULL,0,0,0,NULL,0
João de Deus,1,2,0,NULL,0,0,0,NULL,0
Loteamento Santo André,1,2,0,NULL,0,0,0,NULL,0
Ipsep,1,2,0,NULL,0,0,0,NULL,0
Vale Dourado,1,2,0,NULL,0,0,0,NULL,0
Vila Esperança,1,2,0,NULL,0,0,0,NULL,0
Jardim Maravilha,1,2,0,NULL,0,0,0,NULL,0
Jardim São Paulo,1,2,0,NULL,0,0,0,NULL,0
Pedra Linda,1,2,0,NULL,0,0,0,NULL,0
Novo Tempo,1,2,0,NULL,0,0,0,NULL,0
Alto do Cocar,1,2,0,NULL,0,0,0,NULL,0
Antonio Cassimiro,1,2,0,NULL,0,0,0,NULL,0
Pedro Raimundo,1,2,0,NULL,0,0,0,NULL,0
Vale do Grande Rio,1,2,0,NULL,0,0,0,NULL,0
Cacheado,1,2,0,NULL,0,0,0,NULL,0
Loteamento Bela Vista,1,2,0,NULL,0,0,0,NULL,0
Santa Luzia,1,2,0,NULL,0,0,0,NULL,0
Terras do Sul,1,2,0,NULL,0,0,0,NULL,0
Mandacaru,1,2,0,NULL,0,0,0,NULL,0
Park Mandacaru,1,2,0,NULL,0,0,0,NULL,0
São Joaquim,1,2,0,NULL,0,0,0,NULL,0
São Jorge,1,2,0,NULL,0,0,0,NULL,0
Dom Avelar,1,2,0,NULL,0,0,0,NULL,0
Cohab Massangano ( COHAB IV e V),1,2,0,NULL,0,0,0,NULL,0
Cohab VI (São Francisco),1,2,0,NULL,0,0,0,NULL,0
Rio Claro,1,2,0,NULL,0,0,0,NULL,0
Rio Corrente,1,2,0,NULL,0,0,0,NULL,0
Ouro Preto,1,2,0,NULL,0,0,0,NULL,0
São Gonçalo,1,2,0,NULL,0,0,0,NULL,0
Alto da Boa Vista,1,2,0,NULL,0,0,0,NULL,0
Jardim Guanabara,1,2,0,NULL,0,0,0,NULL,0
Jardim Imperial,1,2,0,NULL,0,0,0,NULL,0
